user_id,created_at,country,plan_type,user_age,post_id,post_category,post_created_at,votes_received,user_total_posts,days_since_signup,device_type
U01486,2024-03-12T01:23:49,MX,free,19.0,P0006324,health,2024-03-14T02:48:46,3,8,2,web
U00256,2024-07-17T14:27:19,AR,free,,P0001106,GAMING,2024-07-22T22:22:20,3,3,5,mobile
U00059,2025-03-23T07:10:04,MX,free,29.0,P0000223,sports,2025-03-26T02:16:09,3,1,3,web
U00311,2025-09-16T21:31:01,US,free,26.0,P0001384,gaming,2025-10-15T19:56:52,4,12,29,web
U01494,2024-01-17T17:03:12,ES,free,20.0,P0006367,music,2024-02-05T10:50:06,0,20,19,web
U01645,2025-01-16T10:50:53,AR,free,30.0,P0007096,TECH,2025-04-22T16:38:45,14,19,96,mobile
U00741,2025-03-07T12:13:22,CL,pro,16.0,P0003167,life,2025-03-13T00:38:21,4,5,6,mobile
U00709,2024-01-28T03:12:20,PE,free,25.0,P0003025,tech,2024-06-15T19:59:25,6,18,139,mobile
U01513,2024-08-12T23:24:15,BR,free,32.0,P0006490,science,2024-10-27T16:25:42,10,22,76,web
U00398,2025-07-30T13:24:25,US,free,,P0001719,travel,2025-09-26T14:13:32,11,12,58,mobile
U01638,2024-06-17T09:09:33,BR,free,20.0,P0007053,Tech,2024-08-07T04:00:30,11,6,51,web
U00948,2024-06-22T06:05:03,PE,FREE,45.0,P0004100,Health,2024-07-12T15:54:45,14,2,20,mobile
U01368,2025-07-08T13:28:34,US,free,44.0,P0005835,health,2025-07-16T17:59:27,4,11,8,mobile
U01904,2024-10-30T05:14:57,BR,free,36.0,P0008188,education,2024-12-12T20:58:23,10,4,43,desktop
U01723,2024-05-21T14:50:18,AR,free,22.0,P0007379,tech,2024-05-24T01:58:36,0,4,3,web
U00542,2024-07-31T07:57:24,BR,pro,21.0,P0002264,finance,2024-10-05T15:27:16,50,7,66,web
U00936,2024-09-20T04:51:03,US,enterprise,24.0,P0004052,travel,2024-10-11T21:33:56,25,4,21,mobile
U01941,2024-06-02T08:38:24,AR,free,30.0,P0008331,music,2024-06-24T20:12:19,0,6,22,web
U01656,2024-10-13T08:40:43,US,free,30.0,P0007138,travel,2024-10-29T03:31:41,2,5,16,mobile
U00364,2024-01-22T07:19:16,PY,free,20.0,P0001594,tech,2024-02-13T17:20:50,8,11,22,web
U00516,2024-04-12T20:16:22,US,free,32.0,P0002146,life,2024-05-26T05:01:10,0,28,44,web
U01192,2024-09-19T20:24:03,MX,free,38.0,P0005087,travel,2024-10-09T00:29:53,5,1,20,web
U00229,2025-10-30T05:03:04,BR,free,27.0,P0000995,life,2025-12-02T00:39:28,6,10,33,mobile
U01136,2024-06-10T06:22:40,US,free,16.0,P0004835,music,2024-06-13T10:01:15,19,3,3,mobile
U01995,2025-10-07T10:24:00,ES,free,29.0,P0008565,science,2025-10-17T14:45:19,1,5,10,web
U00304,2024-03-10T11:40:19,AR,free,16.0,P0001351,Tech,2024-03-20T10:07:01,8,3,10,web
U00019,2024-09-13T03:59:09,AR,FreE,58.0,P0000081,travel,2024-11-05T12:23:10,5,10,53,desktop
U00414,2024-04-15T10:13:31,US,free,33.0,P0001778,music,2024-04-15T17:42:39,8,3,0,web
U00668,2025-01-11T03:26:27,PE,free,22.0,P0002796,finance,2025-01-19T10:45:16,7,8,8,web
U01632,2025-10-08T21:40:22,CO,free,22.0,P0007026,finance,2025-10-30T11:02:09,1,9,22,mobile
U00967,2024-01-17T02:25:23,ES,free,24.0,P0004192,science,2025-01-12T00:43:56,4,38,361,mobile
U01345,2025-02-14T18:19:42,BR,enterprise,34.0,P0005748,music,2025-02-15T08:29:52,5,2,1,web
U01688,2025-04-18T10:19:55,AR,pro,23.0,P0007247,health,2025-04-22T07:13:23,10,9,4,web
U01512,2024-05-09T10:17:35,BR,free,17.0,P0006474,finanse,2024-05-31T18:32:45,11,9,22,desktop
U01994,2025-11-22T07:09:10,BR,PRo,29.0,P0008561,science,2025-12-05T08:59:44,19,4,13,mobile
U00298,2025-07-09T19:54:32,PY,free,38.0,P0001323,science,2025-07-26T13:06:26,21,13,17,web
U01378,2025-06-19T18:02:45,US,pro,26.0,P0005891,life,2025-06-20T17:59:09,6,22,1,mobile
U00371,2024-07-14T02:43:36,AR,free,,P0001624,gamming,2024-07-15T21:11:18,1,2,1,web
U00351,2025-02-17T14:45:50,US,free,33.0,P0001544,tech,2025-02-20T18:46:05,5,6,3,web
U01693,2025-12-11T21:28:28,ES,pro,16.0,P0007262,life,2025-12-12T02:29:50,13,4,1,mobile
U00343,2025-06-10T15:26:44,US,FREE,37.0,P0001503,health,2025-07-11T05:34:19,8,6,31,mobile
U01427,2025-05-21T23:32:10,MX,free,39.0,P0006116,life,2025-05-24T13:32:30,5,2,3,mobile
U00587,2024-09-29T11:16:24,BR,free,38.0,P0002459,travel,2024-12-06T19:37:50,5,10,68,web
U01892,2024-09-16T06:17:52,UY,free,28.0,P0008142,Music,2025-01-25T10:46:52,3,11,131,web
U00247,2024-08-03T12:34:04,UY,free,,P0001072,SPORTS,2024-10-07T09:28:06,4,5,65,mobile
U01254,2025-01-03T09:34:44,CO,FreE,20.0,P0005382,sports,2025-05-03T05:05:30,1,12,120,mobile
U00165,2024-02-05T07:53:48,US,free,31.0,P0000719,Finance,2024-04-17T00:40:24,5,9,72,mobile
U00760,2025-01-24T16:27:34,AR,free,16.0,P0003246,science,2025-01-27T09:11:16,2,2,3,mobile
U00606,2024-09-18T04:49:05,ES,pro,33.0,P0002532,tech,2024-09-25T12:51:11,13,4,7,mobile
U01287,2025-01-19T06:56:34,US,pro,30.0,P0005504,life,2025-01-30T01:33:43,4,4,11,mobile
U00717,2024-07-24T22:47:03,PE,pro,33.0,P0003061,sports,2024-08-18T12:30:55,8,11,25,desktop
U00619,2024-07-08T22:37:15,US,free,24.0,P0002573,finance,2024-11-08T02:56:46,3,13,123,web
U01159,2024-03-24T18:45:53,US,free,30.0,P0004950,health,2024-04-12T07:25:58,8,7,19,web
U01279,2025-09-23T17:05:38,UY,free,27.0,P0005472,education,2025-10-01T20:32:44,3,4,8,desktop
U00337,2025-05-11T13:12:03,MX,FREE,24.0,P0001473,Science,2025-05-24T07:11:50,1,9,13,mobile
U01320,2024-02-01T23:45:14,PY,pro,35.0,P0005647,finance,2024-02-04T23:28:15,12,5,3,mobile
U01011,2025-10-26T07:00:36,BR,free,19.0,P0004375,life,2025-12-09T21:23:44,6,4,44,web
U00846,2024-01-09T15:34:28,MX,free,25.0,P0003659,finance,2024-02-11T19:47:51,3,5,33,web
U00007,2024-02-19T17:31:45,BR,free,32.0,P0000015,gaming,2024-02-23T05:36:47,4,7,4,web
U00806,2025-02-25T04:06:46,CL,free,32.0,P0003468,Life,2025-02-26T01:53:54,4,1,1,desktop
U01446,2025-11-20T07:19:58,BR,free,22.0,P0006172,finance,2025-11-25T10:33:48,8,6,5,mobile
U00930,2024-02-14T04:20:27,AR,free,17.0,P0004002,music,2024-03-27T23:51:22,5,21,42,mobile
U00976,2024-12-20T17:16:17,BR,enterprise,28.0,P0004236,finance,2025-07-21T12:35:22,2,15,213,mobile
U00083,2024-03-20T11:14:09,US,enterprise,37.0,P0000316,education,2024-03-22T18:15:18,4,5,2,web
U01189,2025-12-26T08:29:29,AR,Free,31.0,P0005063,sports,2025-12-26T13:56:26,1,4,1,mobile
U00682,2025-06-17T14:24:12,US,free,24.0,P0002875,education,2025-08-02T03:17:09,6,11,46,mobile
U00084,2025-07-17T06:27:31,ES,free,16.0,P0000322,MUSIC,2025-07-26T18:30:29,3,8,9,web
U00083,2024-03-20T11:14:09,US,ENTERPRISE,37.0,P0000319,gaming,2024-03-29T07:47:30,7,5,9,desktop
U00940,2024-04-20T23:38:36,AR,free,29.0,P0004061,sports,2024-04-29T06:08:55,8,8,9,mobile
U01989,2025-03-21T06:33:07,BR,free,,P0008537,EDUCATION,2025-06-03T13:29:43,15,13,74,web
U01525,2024-12-03T12:29:38,CL,free,28.0,P0006538,tech,2025-01-20T11:21:09,20,9,48,desktop
U01854,2024-07-15T07:01:29,US,free,23.0,P0007962,gaming,2024-07-18T18:36:43,8,6,3,web
U00026,2024-03-31T14:59:49,US,pro,32.0,P0000096,science,2024-04-06T14:52:45,3,2,6,web
U01658,2025-10-12T05:57:55,PY,free,35.0,P0007147,travel,2025-10-23T04:00:12,9,12,11,mobile
U01398,2024-09-26T04:28:14,AR,free,37.0,P0005988,science,2024-11-09T14:57:21,1,7,44,mobile
U00262,2025-07-14T05:20:06,PY,pro,36.0,P0001150,science,2025-08-02T00:46:32,13,19,18,desktop
U01455,2025-02-13T08:57:53,US,free,41.0,P0006218,tech,2025-03-11T04:16:39,16,7,26,mobile
U01415,2024-12-24T07:16:48,UY,pro,30.0,P0006033,trvael,2024-12-28T17:42:17,2,10,4,mobile
U01436,2025-10-09T09:03:12,CL,pro,27.0,P0006146,tech,2025-10-10T04:44:53,12,1,1,mobile
U01843,2024-05-09T17:31:38,PY,free,33.0,P0007923,science,2024-10-14T08:56:20,24,31,158,web
U01300,2024-06-18T10:39:12,ES,free,28.0,P0005554,tech,2024-07-20T03:54:41,7,8,32,mobile
U01902,2024-07-30T14:56:12,MX,pro,22.0,P0008178,tech,2024-08-10T20:53:22,11,11,11,web
U00515,2025-09-05T07:05:20,US,free,47.0,P0002128, gaming ,2025-09-14T12:17:26,5,11,9,web
U01938,2025-11-24T00:57:25,MX,enterprise,27.0,P0008303,sports,2025-12-01T21:14:11,0,8,7,mobile
U01656,2024-10-13T08:40:43,US,FREE,30.0,P0007140,music,2024-10-30T05:45:05,7,5,17,mobile
U00788,2024-08-13T14:11:25,AR,pro,,P0003398,TECH,2024-10-24T15:35:46,7,3,72,mobile
U01772,2025-06-22T10:49:45,PY,pro,31.0,P0007606,finance,2025-07-08T16:06:38,13,8,16,mobile
U01613,2024-10-24T12:38:23,US,pro,21.0,P0006941,education,2024-11-18T07:34:37,6,7,25,web
U01754,2025-01-17T07:05:21,US,free,39.0,P0007503,lfe,2025-01-26T13:53:23,6,6,9,web
U01669,2024-10-07T13:08:03,BR,free,41.0,P0007186,life,2024-10-25T21:41:45,9,10,18,mobile
U00564,2024-12-31T20:04:04,US,free,16.0,P0002374, science ,2025-06-05T11:05:38,16,20,156,web
U00152,2025-07-25T13:58:13,ES,free,33.0,P0000665,life,2025-07-30T00:54:32,0,7,5,web
U00778,2025-06-20T03:24:23,US,free,28.0,P0003335,health,2025-06-22T08:00:56,6,6,2,desktop
U01275,2025-02-26T22:01:57,ES,free,27.0,P0005459,finance,2025-04-10T23:12:08,4,3,43,mobile
U01575,2024-10-06T02:07:57,BR,free,19.0,P0006743,health,2024-11-11T05:13:08,10,11,36,web
U01524,2025-02-26T00:58:07,US,free,27.0,P0006534,finance,2025-03-06T05:33:28,11,2,8,mobile
U01508,2025-04-12T14:36:42,US,EnterPrise,36.0,P0006453,health,2025-05-04T21:11:13,6,4,22,web
U01144,2025-11-15T13:36:10,BR,free,33.0,P0004865,tech,2025-12-07T22:24:10,37,6,22,web
U01018,2024-02-16T20:57:55,US,free,21.0,P0004408,education,2024-03-01T03:37:44,6,2,14,mobile
U00754,2025-03-07T04:56:28,BR,free,,P0003218,LIFE,2025-03-19T02:09:29,5,10,12,web
U00723,2025-03-09T09:49:14,MX,free,35.0,P0003081,tech,2025-04-25T11:10:34,16,4,47,web
U00967,2024-01-17T02:25:23,ES,free,24.0,P0004174,gaming,2024-05-24T05:55:29,8,38,128,web
U01342,2025-11-22T07:23:31,BR,EnterPrise,28.0,P0005736,life,2025-12-28T18:34:26,9,5,36,mobile
U00829,2025-11-06T12:54:33,PY,Free,31.0,P0003606, tech ,2025-11-10T22:53:26,4,11,4,mobile
U00058,2025-03-10T14:31:01,CO,enterprise,29.0,P0000222,science,2025-03-13T16:20:29,2,4,3,mobile
U01381,2025-12-05T12:02:37,CO,free,23.0,P0005927,finance,2025-12-17T23:48:34,13,5,12,mobile
U01211,2024-05-18T14:48:29,CL,free,28.0,P0005186,gaming,2024-05-22T07:46:16,2,9,4,mobile
U00867,2024-08-23T07:31:30,PE,free,32.0,P0003743,finance,2024-09-21T19:28:27,5,9,29,mobile
U01772,2025-06-22T10:49:45,PY,pro,31.0,P0007605,travel,2025-07-05T00:20:27,2,8,13,mobile
U01016,2024-03-16T13:12:37,CL,free,34.0,P0004405,science,2024-07-01T17:39:38,5,14,107,web
U00813,2024-08-15T23:29:10,BR,free,18.0,P0003499,tehc,2024-09-04T13:51:13,12,11,20,mobile
U00404,2024-11-27T12:31:44,US,free,30.0,P0001741,tech,2024-12-01T19:38:40,3,7,4,mobile
U01079,2025-05-07T04:03:02,PY,free,30.0,P0004619,life,2025-05-29T16:34:38,10,2,22,mobile
U01348,2024-08-19T01:43:46,BR,free,25.0,P0005762,education,2024-10-15T07:01:08,3,6,57,desktop
U01986,2025-03-29T01:15:50,BR,free,28.0,P0008507,life,2025-03-30T10:30:15,11,1,1,mobile
U01473,2024-09-26T00:26:55,AR,free,31.0,P0006291,health,2024-10-06T05:42:23,3,6,10,web
U00707,2024-10-07T17:32:12,MX,pro,27.0,P0003002,gaming,2024-09-27T12:32:12,13,11,0,mobile
U01843,2024-05-09T17:31:38,PY,free,33.0,P0007919,science,2024-08-15T16:50:18,0,31,98,mobile
U01379,2025-05-24T23:35:06,BR,free,26.0,P0005913,gaming,2025-08-13T22:48:18,11,8,81,web
U00300,2025-10-11T15:06:44,CO,free,27.0,P0001329,tech,2025-11-06T19:03:09,5,2,26,web
U00924,2024-09-15T14:37:59,PY,free,27.0,P0003967,life,2024-09-23T18:36:53,1,9,8,mobile
U01074,2024-08-15T21:11:21,CL,free,32.0,P0004598,finance,2024-08-29T05:30:07,12,4,14,mobile
U00773,2025-11-01T23:34:39,AR,pro,19.0,P0003310,gaming,2025-11-19T16:49:55,8,5,18,mobile
U01892,2024-09-16T06:17:52,UY,free,28.0,P0008139,gaming,2024-10-09T16:39:58,1,11,23,web
U01865,2024-03-23T20:32:20,BR,free,37.0,P0008012,health,2024-04-22T05:19:00,11,12,30,web
U00930,2024-02-14T04:20:27,AR,free,17.0,P0004012, science ,2024-05-21T09:16:09,0,21,97,mobile
U01703,2024-01-17T03:28:57,PE,enterprise,22.0,P0007303,EDUCATION,2024-02-09T22:08:07,2,8,23,web
U01189,2025-12-26T08:29:29,AR,free,31.0,P0005065,sports,2025-12-29T06:01:45,6,4,3,mobile
U00114,2025-07-13T09:31:05,BR,free,29.0,P0000497,life,2025-11-22T11:54:37,0,24,132,mobile
U00303,2024-10-24T16:42:28,US,free,30.0,P0001347,education,2024-11-11T12:31:26,3,7,18,desktop
U01361,2024-04-22T04:45:02,US,pro,31.0,P0005808,life,2024-05-10T08:53:54,9,2,18,web
U01344,2024-01-02T17:13:57,US,pro,23.0,P0005742,tech,2024-01-04T10:16:17,21,6,2,mobile
U00379,2024-10-05T11:02:56,AR,enterprise,17.0,P0001657,LIFE,2024-10-07T11:54:34,8,2,2,mobile
U01175,2024-09-25T17:53:50,BR,free,23.0,P0005004,tech,2024-09-27T18:51:18,6,1,2,mobile
U01903,2024-05-24T03:19:30,ES,free,25.0,P0008185,tech,2024-05-24T15:31:49,7,1,0,mobile
U01341,2024-10-21T21:44:36,US,pro,,P0005715,travel,2024-10-31T20:15:41,7,20,10,mobile
U00324,2025-03-31T12:51:45,AR,free,27.0,P0001422,sports,2025-04-01T16:52:40,0,2,1,web
U01589,2024-09-20T22:25:42,PE,free,16.0,P0006817,tech,2024-10-17T08:39:58,23,12,27,web
U00711,2025-05-02T18:10:52,ES,free,32.0,P0003040,FINANCE,2025-06-08T15:34:36,10,7,37,mobile
U00142,2024-03-29T21:53:58,BR,free,22.0,P0000624,tech,2024-04-22T04:31:37,1,7,24,web
U01843,2024-05-09T17:31:38,PY,free,33.0,P0007896,science,2024-05-10T15:51:38,5,31,1,mobile
U00932,2025-01-11T23:34:17,BR,pro,,P0004029,science,2025-02-22T01:11:47,25,18,42,web
U01589,2024-09-20T22:25:42,PE,free,16.0,P0006811,life,2024-10-02T04:12:09,1,12,12,web
U00707,2024-10-07T17:32:12,MX,pro,27.0,P0003007,gaming,2024-12-14T00:04:00,9,11,68,mobile
U01220,2024-11-29T02:41:23,ES,free,28.0,P0005217,life,2024-12-03T04:35:59,6,4,4,web
U00261,2024-11-13T12:21:23,BR,pro,24.0,P0001140,life,2024-11-13T18:37:32,7,2,0,desktop
U01652,2025-12-25T01:16:57,US,free,,P0007122,finance,2025-12-27T10:09:01,4,2,2,mobile
U01913,2024-12-11T09:05:18,BR,free,28.0,P0008206,gaming,2024-12-25T07:20:42,2,2,14,mobile
U00848,2024-01-19T16:03:10,BR,pro,24.0,P0003663,HEALTH,2024-02-02T21:55:18,2,2,14,web
U00709,2024-01-28T03:12:20,PE,free,25.0,P0003018,music,2024-04-14T07:01:34,1,18,77,mobile
U00503,2025-01-13T13:27:33,US,FREE,16.0,P0002095, health ,2024-12-14T01:27:33,7,9,0,web
U00264,2025-07-30T07:15:40,ES,free,31.0,P0001163,finance,2025-08-06T08:56:21,5,1,7,web
U00243,2025-02-03T13:41:27,PY,free,35.0,P0001062,life,2025-04-05T17:12:43,8,15,61,mobile
U00133,2024-12-19T06:50:49,AR,free,25.0,P0000568,GAMING,2024-12-24T03:38:24,1,7,5,web
U01763,2024-12-02T12:42:25,BR,free,39.0,P0007543, music ,2024-11-08T11:42:25,5,13,0,web
U01302,2025-05-13T16:06:16,MX,pro,29.0,P0005564,tech,2025-05-25T01:27:06,3,9,12,mobile
U00821,2024-04-30T04:21:22,MX,free,19.0,P0003568,tehc,2024-07-15T23:01:17,5,21,76,mobile
U01012,2025-06-17T04:31:53,ES,enterprise,38.0,P0004376,Education,2025-06-19T07:04:16,5,7,2,web
U01925,2024-04-07T07:11:30,AR, free ,30.0,P0008255,music,2024-04-21T01:06:55,2,4,14,web
U00013,2024-04-06T19:11:03,CL,free,30.0,P0000038,education,2024-04-10T11:09:33,4,3,4,web
U00107,2024-10-26T07:05:31,US,free,27.0,P0000454,tech,2024-11-20T00:13:41,8,9,25,web
U01894,2025-06-13T16:27:58,US,free,40.0,P0008149,tech,2025-06-22T19:24:43,0,3,9,web
U01878,2025-04-05T06:14:26,BR,pro,16.0,P0008066,sports,2025-04-27T19:21:07,0,18,22,mobile
U01047,2025-02-21T23:15:50,AR,pro,28.0,P0004507,life,2025-02-23T03:38:29,11,9,2,web
U00649,2025-04-17T23:48:02,BR,pro,25.0,P0002685,education,2025-05-02T11:15:12,5,2,15,mobile
U00545,2025-01-13T10:19:09,US,free,,P0002273,LIFE,2025-01-15T20:06:00,9,2,2,web
U00949,2024-08-01T08:22:05,UY,free,26.0,P0004105,music,2024-09-14T17:52:51,9,6,44,mobile
U01507,2024-01-07T09:42:24,CL,free,34.0,P0006449,education,2024-01-29T17:04:35,0,5,22,web
U00304,2024-03-10T11:40:19,AR,free,16.0,P0001350,gaming,2024-03-14T18:53:38,5,3,4,web
U01293,2024-01-29T21:09:45,AR,free,32.0,P0005525,life,2024-03-09T17:57:13,6,13,43,web
U00805,2024-05-16T00:54:35,BR,FREE,37.0,P0003466,life,2024-06-12T01:14:45,9,2,27,web
U00918,2025-09-15T10:04:15,US,free,22.0,P0003950,gaming,2025-11-17T23:04:51,1,8,63,web
U00619,2024-07-08T22:37:15,US,free,24.0,P0002580,tech,2025-01-05T15:20:53,15,13,181,mobile
U01644,2024-07-26T19:17:03,PY,free,43.0,P0007085,SCIENCE,2024-07-29T13:11:24,10,1,3,mobile
U01458,2024-04-25T17:28:38,BR,pro,,P0006232,education,2024-05-30T05:04:16,8,7,35,mobile
U01418,2024-12-31T18:09:58,UY,free,28.0,P0006059, gaming ,2025-01-01T18:16:25,2,8,1,mobile
U00366,2025-03-26T11:56:06,MX,pro,40.0,P0001607,life,2025-05-23T13:47:42,6,6,58,web
U01855,2025-01-27T06:15:01,AR,free,26.0,P0007968,music,2025-01-30T07:19:28,7,1,3,mobile
U01222,2024-08-01T16:25:59,AR,FreE,23.0,P0005227,tech,2024-08-16T02:07:41,3,5,15,desktop
U00200,2024-11-23T15:40:54,AR,free,32.0,P0000880,music,2024-11-27T00:42:38,3,2,4,mobile
U01161,2025-11-04T11:13:00,US,free,24.0,P0004959,tech,2025-12-02T14:46:22,7,4,28,web
U00400,2024-07-25T08:54:55,US,free,,P0001731,sports,2024-09-02T14:53:25,8,5,39,mobile
U00086,2024-04-01T10:43:53,BR,pro,23.0,P0000334,science,2024-05-18T13:31:39,4,4,47,web
U01981,2024-01-16T17:57:59,US,pro,29.0,P0008491,finance,2024-03-21T22:11:42,8,16,65,mobile
U00620,2024-10-22T07:55:06,AR,free,50.0,P0002583,finance,2024-10-27T09:23:01,13,2,5,mobile
U01082,2025-09-16T01:35:06,BR,free,32.0,P0004626,gaming,2025-10-09T06:43:55,3,5,23,mobile
U00670,2025-06-08T10:24:10,US, pro ,25.0,P0002813,tech,2025-07-26T16:46:05,0,20,48,mobile
U00148,2024-05-11T01:50:20,US,free,16.0,P0000648,finance,2024-08-02T07:26:12,11,8,83,web
U00262,2025-07-14T05:20:06,PY,pro,36.0,P0001146,tech,2025-07-28T05:08:37,8,19,14,desktop
U01760,2025-10-30T19:48:42,BR,free,29.0,P0007530,health,2025-12-16T00:37:53,4,10,47,web
U00709,2024-01-28T03:12:20,PE,free,25.0,P0003012,life,2024-02-29T12:37:37,6,18,32,mobile
U00447,2024-07-18T04:06:13,US,free,,P0001878,sports,2024-07-22T19:39:11,7,3,4,web
U00062,2024-01-26T09:28:50,BR,free,28.0,P0000240,science,2024-02-02T03:06:13,17,4,7,web
